file_name,corpus,model_name,model_size,prompt,vocab,mean,sd,vocab_size,total_words,alpha,beta,singleton_count,r
pubmed_gptneo-125m_oneshotclosed.json,pubmed,gptneo,125m,oneshot,closed,80.26,56.99,22453,4815404,216.5669,0.3022,5114,0.99792886
pubmed_gptneo-125m_oneshotclosed.json,pubmed,gptneo,125m,oneshot,closed,80.26,56.99,22453,4815404,231.1495,0.2982,5114,0.996839185
pubmed_pythia-410m_fewshotopen.json,pubmed,pythia,410m,fewshot,open,204.68,34.57,123384,12280730,9.4499,0.5801,55493,0.999772519
pubmed_pythia-410m_fewshotopen.json,pubmed,pythia,410m,fewshot,open,204.68,34.57,123384,12280730,9.7695,0.5783,55493,0.999808281
pubmed_pythia-410m_fewshotopen.json,pubmed,pythia,410m,fewshot,open,204.68,34.57,123384,12280730,10.5335,0.5736,55493,0.999824687
hn_pythia-1b_zeroshotclosed.json,hn,pythia,1b,zeroshot,closed,152.67,17.83,26221,9160021,161.7161,0.3183,7245,0.996852716
hn_pythia-1b_zeroshotclosed.json,hn,pythia,1b,zeroshot,closed,152.67,17.83,26221,9160021,150.801,0.3227,7245,0.997560546
hn_pythia-1b_zeroshotclosed.json,hn,pythia,1b,zeroshot,closed,152.67,17.83,26221,9160021,153.9413,0.3212,7245,0.997603194
pubmed_pythia-2.8b_fewshotclosed.json,pubmed,pythia,2.8b,fewshot,closed,120.26,54.83,35680,7215695,237.3233,0.3184,5748,0.996265087
pubmed_pythia-2.8b_fewshotclosed.json,pubmed,pythia,2.8b,fewshot,closed,120.26,54.83,35680,7215695,243.4411,0.3166,5748,0.996251579
pubmed_pythia-2.8b_fewshotclosed.json,pubmed,pythia,2.8b,fewshot,closed,120.26,54.83,35680,7215695,255.8392,0.3135,5748,0.996639742
